Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Stary kod stacji;WskaŸnik;Czas uœredniania;Œrednia;Min;Maks;Liczba pomiarów;Kompletnoœæ ;Liczba Lato/Zima
2002;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;MpKrakowWIOSBulw6118;PM2.5;24g;48,9;6,0;244,1;71;19,5;1,0
2002;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakowWIOSPrad6115;MpKrakowWIOSPrad6115;PM2.5;24g;42,1;8,2;196,7;62;17,0;1,1
2003;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakowWIOSPrad6115;MpKrakowWIOSPrad6115;PM2.5;24g;46,3;10,6;205,6;65;17,8;0,9
2004;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzLegion;LdLodzWSSEMLegiono;PM2.5;24g;18,6;8,0;88,0;188;51,4;4,7
2005;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzLegion;LdLodzWSSEMLegiono;PM2.5;24g;23,8;4,0;105,0;306;83,8;0,7
2005;œl¹skie;PL2404;miasto Czêstochowa;SlCzestCzes_rzasa;SlCzestCzes_rzasa;PM2.5;24g;32,4;0,1;139,6;234;64,1;2,1
2006;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzLegion;LdLodzWSSEMLegiono;PM2.5;24g;24,6;5,0;106,0;266;72,9;0,6
2006;pomorskie;PL2202;strefa pomorska;Pm.63.wDSMm;Pm.63.wDSMm;PM2.5;24g;22,0;2,0;103,0;278;76,2;0,7
2006;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlZabSkloCur;SlZabrzZabr_sklod;PM2.5;24g;30,6;3,6;171,1;266;72,9;2,0
2006;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczPils02;ZpSzczecin002;PM2.5;1g;20,7;1,0;145,0;6934;79,2;1,7
2007;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;KpBydgWarszawska;PM2.5;1g;22,8;0,0;261,1;7479;85,4;1,2
2007;lubelskie;PL0601;Aglomeracja Lubelska;LbLublinPiel;LbLublinPiel;PM2.5;24g;20,6;3,0;93,0;226;61,9;0,9
2007;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzLegion;LdLodzWSSEMLegiono;PM2.5;24g;17,1;4,0;50,0;176;48,2;1,0
2007;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;MpKrakowWIOSBulw6118;PM2.5;24g;38,9;8,6;209,0;55;15,1;1,5
2007;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszSGGW;MzWarszSGGW;PM2.5;24g;22,4;3,8;64,5;52;14,2;1,0
2007;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlZabSkloCur;SlZabrzZabr_sklod;PM2.5;24g;32,5;4,2;179,9;180;49,3;1,0
2007;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczPils02;ZpSzczecin002;PM2.5;1g;19,5;0,0;124,0;8591;98,1;1,0
2008;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocWybCon;DsWrocKorzA;PM2.5;24g;21,5;5,7;93,7;294;80,3;0,8
2008;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;KpBydgWarszawska;PM2.5;1g;21,1;0,8;183,8;3842;43,7;0,8
2008;lubelskie;PL0601;Aglomeracja Lubelska;LbLublinPiel;LbLublinPiel;PM2.5;24g;18,6;3,5;110,5;214;58,5;0,9
2008;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzLegion;LdLodzWSSEMLegiono;PM2.5;24g;23,1;5,0;93,0;186;50,8;1,3
2008;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;MpKrakowWIOSBulw6118;PM2.5;1g;37,6;3,0;354,0;8581;97,7;1,0
2008;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;MpKrakowWIOSBulw6118;PM2.5;24g;37,5;3,4;254,7;354;96,7;1,0
2008;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakowWIOSPrad6115;MpKrakowWIOSPrad6115;PM2.5;1g;33,5;3,0;393,0;8746;99,6;1,0
2008;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakowWIOSPrad6115;MpKrakowWIOSPrad6115;PM2.5;24g;33,5;4,3;245,9;364;99,5;1,0
2008;podkarpackie;PL1802;strefa podkarpacka;PkJasloWIOSFabr;PkJasloWIOSFabr;PM2.5;1g;32,0;0,0;270,7;6259;71,3;1,0
2008;podkarpackie;PL1802;strefa podkarpacka;PkPrzemyslWIOSMick;PkPrzemyslWIOSMick;PM2.5;1g;45,1;0,0;428,4;7109;80,9;1,0
2008;pomorskie;PL2201;Aglomeracja Trójmiejska;Pm.a09a;Pm.a09a;PM2.5;1g;13,5;0,9;119,3;6504;74,0;2,0
2008;pomorskie;PL2202;strefa pomorska;Pm.63.wDSMm;Pm.63.wDSMm;PM2.5;24g;14,7;1,0;57,0;300;82,0;1,0
2008;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;SlKatowKato_kossu;PM2.5;24g;24,1;5,0;91,0;214;58,5;4,0
2008;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlZabSkloCur;SlZabrzZabr_sklod;PM2.5;24g;40,4;4,4;239,3;354;96,7;1,1
2008;œl¹skie;PL2402;Aglomeracja Rybnicko-Jastrzêbska;SlZorySikors;SlZoryzZory_sikor;PM2.5;24g;40,7;5,0;227,0;119;32,5;0,6
2008;wielkopolskie;PL3001;Aglomeracja Poznañska;WpPoznPolank;WpWKP001;PM2.5;1g;23,7;1,1;241,9;8711;99,2;1,0
2008;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczPils02;ZpSzczecin002;PM2.5;1g;19,7;0,0;181,0;8177;93,1;1,0
2009;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocWybCon;DsWrocKorzA;PM2.5;1g;25,5;2,0;286,0;4529;51,7;1,2
2009;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocWybCon;DsWrocKorzA;PM2.5;24g;32,6;1,2;139,0;361;98,9;1,0
2009;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;KpBydgWarszawska;PM2.5;1g;20,3;0,0;224,3;5011;57,2;1,2
2009;lubelskie;PL0601;Aglomeracja Lubelska;LbLublinPiel;LbLublinPiel;PM2.5;24g;23,4;7,0;106,5;310;84,9;1,0
2009;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzCzerni;LdLodzWIOSACzernik;PM2.5;1g;23,4;1,0;104,0;4754;54,3;1,2
2009;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzLegion;LdLodzWSSEMLegiono;PM2.5;24g;31,4;4,0;114,0;267;73,2;0,6
2009;³ódzkie;PL1001;Aglomeracja £ódzka;LdZgieMielcz;LdZgierzWIOSAMielcza;PM2.5;1g;27,8;1,0;370,0;8324;95,0;1,1
2009;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;MpKrakowWIOSAKra6117;PM2.5;1g;52,5;5,0;282,0;2263;25,8;0,5
2009;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;MpKrakowWIOSBulw6118;PM2.5;1g;45,8;3,0;399,0;6332;72,3;0,7
2009;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;MpKrakowWIOSBulw6118;PM2.5;24g;46,2;7,0;188,5;258;70,7;0,7
2009;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakowWIOSPrad6115;MpKrakowWIOSPrad6115;PM2.5;1g;39,2;0,0;419,0;8586;98,0;1,0
2009;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakowWIOSPrad6115;MpKrakowWIOSPrad6115;PM2.5;24g;39,4;6,5;207,1;360;98,6;1,0
2009;ma³opolskie;PL1202;miasto Tarnów;MpTarnowWIOSSoli6303;MpTarnowWIOSSoli6303;PM2.5;24g;29,0;5,0;115,0;165;45,2;1,4
2009;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;MzWarszUrsynow;PM2.5;1g;22,4;0,6;145,1;4707;53,7;1,4
2009;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;MzWarszUrsynow;PM2.5;24g;23,6;4,0;117,6;357;97,8;1,0
2009;mazowieckie;PL1402;miasto P³ock;MzPlocMiReja;MzPlockReja;PM2.5;24g;24,0;5,5;140,4;319;87,4;1,0
2009;mazowieckie;PL1403;miasto Radom;MzRadTochter;MzRadomTochter;PM2.5;24g;24,1;3,5;137,2;334;91,5;0,9
2009;opolskie;PL1602;strefa opolska;OpKKozBSmial;OpKkozle1a;PM2.5;1g;29,2;0,0;222,0;3709;42,3;0,9
2009;podkarpackie;PL1801;miasto Rzeszów;PkRzeszWIOSSzop;PkRzeszWIOSSzop;PM2.5;1g;23,8;0,0;224,0;4977;56,8;1,5
2009;podkarpackie;PL1802;strefa podkarpacka;PkJasloWIOSFabr;PkJasloWIOSFabr;PM2.5;1g;36,5;1,6;288,2;4774;54,5;1,2
2009;podkarpackie;PL1802;strefa podkarpacka;PkPrzemyslWIOSMick;PkPrzemyslWIOSMick;PM2.5;1g;46,6;1,7;472,7;7368;84,1;0,8
